Magnetic field(G),Hall coefficient(2 mA),Hall coefficient(4 mA)
100,-0.000003,-0.000003125
200,-0.0000035,-0.0000034375
300,-0.000003583333333,-0.000003458333333
400,-0.000003625,-0.00000353125
500,-0.0000035,-0.000003425
600,-0.000003583333333,-0.000003583333333
700,-0.000003642857143,-0.000003517857143
800,-0.0000036875,-0.00000353125
900,-0.000003666666667,-0.000003444444444
1000,-0.0000036,-0.000003375
1100,-0.000003659090909,-0.000003454545455
1200,-0.000003625,-0.000003458333333
1300,-0.000003653846154,-0.000003480769231
1400,-0.000003696428571,-0.000003517857143
1500,-0.000003733333333,-0.000003558333333
1600,-0.00000375,-0.000003546875
1700,-0.000003705882353,-0.000003507352941
1800,-0.000003708333333,-0.000003486111111
1900,-0.000003697368421,-0.000003467105263
2000,-0.0000037375,-0.0000034875
2100,-0.00000375,-0.000003523809524
2200,-0.000003784090909,-0.000003545454545
2300,-0.00000375,-0.00000352173913
2400,-0.000003729166667,-0.000003479166667
2500,-0.00000372,-0.000003485
2600,-0.000003721153846,-0.000003519230769
2700,-0.000003759259259,-0.000003513888889
2800,-0.00000375,-0.000003517857143
2900,-0.00000375,-0.000003547413793
3000,-0.000003758333333,
3100,-0.000003741935484,
3200,-0.000003734375,
3300,-0.000003757575758,
3400,-0.000003764705882,
3500,-0.00000375,
3600,-0.000003777777778,
3700,-0.000003756756757,
3800,-0.000003756578947,
3900,-0.000003762820513,
4000,-0.00000375,
4100,-0.000003743902439,
4200,-0.00000375,
4300,-0.000003738372093,
4400,-0.000003738636364,
4500,-0.00000375,
4600,-0.000003744565217,
4700,-0.000003760638298,
4800,-0.000003739583333,